parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
1_0.8,0.999999999616901,0.74424601835634,8.29226126832738e-12,9.175769576732589e-123,0.999999999616901, , ,0.0,0.0,0.0,causal
1_0.9,0.999968381102188,0.644648714115304,2.79809862317994e-06,1.42101049595804e-102,0.999968381102188, , ,0.0,0.0,0.0,causal
1_1,0.999972617644094,0.499443907884514,2.44359173657716e-10,8.01351865098413e-133,0.999972617644094, , ,0.0,0.0,0.0,causal
1_3,0.999993000661346,0.615410235501384,7.472230385814e-12,5.80095928176613e-112,0.999993000661346, , ,0.0,0.0,1.0, 
3_0.1,0.999999890079075,0.111082082619031,5.90252452908812e-10,0.0,0.999999890079075, , ,0.0,0.0,0.0,causal
3_0.2,0.999947464036223,0.0030898285026875,3.7235588855457504e-09,0.0,0.999947464036223, , ,0.0,0.0,0.0,causal
3_0.3,0.996780336186092,9.18692222754515e-05,3.0636549157189402e-09,0.0,0.996780336186092, , ,0.0,0.0,0.0,causal
3_0.4,0.999999436234209,0.0025478381241577,2.60212074499441e-11,0.0,0.999999436234209, , ,0.0,0.0,0.0,causal
3_0.5,0.99999994110343,0.0023582183237228,2.34006359147571e-12,0.0,0.99999994110343, , ,0.0,0.0,0.0,causal
3_0.6,0.998219696270306,0.0639049290690667,3.66436835750721e-06,0.0,0.998219696270306, , ,0.0,0.0,0.0,causal
3_0.7,0.999956111205393,0.0480018110908676,5.2374474009421e-09,0.0,0.999956111205393, , ,0.0,0.0,0.0,causal
3_0.8,0.999887109205349,0.034686318476061,2.5115964438046e-08,0.0,0.999887109205349, , ,0.0,0.0,0.01,causal
3_0.9,0.992123987680828,0.003040135082374,2.77439202253951e-06,0.0,0.992123987680828, , ,0.0,0.0,0.0,causal
3_1,0.999638116756012,0.0024681223703324,1.65525265788065e-09,0.0,0.999638116756012, , ,0.0,0.0,0.0,causal
3_3,0.999999999882818,0.0140991641103763,1.6641375507547699e-18,0.0,0.999999999882818, , ,0.0,0.0,0.16, 
